month,country,device,age_group,gender,sessions,conversions,revenue_gbp
2024-01,United Kingdom,Desktop,18-24,Male,767,56,6241.73
2024-01,United Kingdom,Desktop,18-24,Female,718,26,6891.54
2024-01,United Kingdom,Desktop,18-24,Unknown,174,3,520.47
2024-01,United Kingdom,Desktop,25-34,Male,235,15,6829.38
2024-01,United Kingdom,Desktop,25-34,Female,245,15,5071.75
2024-01,United Kingdom,Desktop,25-34,Unknown,265,7,1305.43
2024-01,United Kingdom,Desktop,35-44,Male,466,31,6158.73
2024-01,United Kingdom,Desktop,35-44,Female,675,20,11007.83
2024-01,United Kingdom,Desktop,35-44,Unknown,172,11,5045.8
2024-01,United Kingdom,Desktop,45-54,Male,373,23,10374.09
2024-01,United Kingdom,Desktop,45-54,Female,647,35,9812.08
2024-01,United Kingdom,Desktop,45-54,Unknown,180,12,3088.3
2024-01,United Kingdom,Desktop,55-64,Male,678,10,5006.62
2024-01,United Kingdom,Desktop,55-64,Female,153,5,3233.13
2024-01,United Kingdom,Desktop,55-64,Unknown,577,28,4285.64
2024-01,United Kingdom,Desktop,65+,Male,333,26,2998.97
2024-01,United Kingdom,Desktop,65+,Female,548,26,6007.83
2024-01,United Kingdom,Desktop,65+,Unknown,184,3,488.78
2024-01,United Kingdom,Mobile,18-24,Male,317,6,3426.96
2024-01,United Kingdom,Mobile,18-24,Female,461,8,4525.14
2024-01,United Kingdom,Mobile,18-24,Unknown,205,10,5388.29
2024-01,United Kingdom,Mobile,25-34,Male,36,2,433.62
2024-01,United Kingdom,Mobile,25-34,Female,192,14,3209.73
2024-01,United Kingdom,Mobile,25-34,Unknown,734,28,10898.12
2024-01,United Kingdom,Mobile,35-44,Male,642,49,12944.78
2024-01,United Kingdom,Mobile,35-44,Female,637,18,10715.67
2024-01,United Kingdom,Mobile,35-44,Unknown,440,25,3829.16
2024-01,United Kingdom,Mobile,45-54,Male,59,0,0.0
2024-01,United Kingdom,Mobile,45-54,Female,484,6,4178.31
2024-01,United Kingdom,Mobile,45-54,Unknown,727,11,3743.01
2024-01,United Kingdom,Mobile,55-64,Male,780,39,20522.83
2024-01,United Kingdom,Mobile,55-64,Female,533,8,919.59
2024-01,United Kingdom,Mobile,55-64,Unknown,680,38,24837.58
2024-01,United Kingdom,Mobile,65+,Male,715,9,3760.04
2024-01,United Kingdom,Mobile,65+,Female,666,26,9105.1
2024-01,United Kingdom,Mobile,65+,Unknown,104,7,4896.86
2024-01,United Kingdom,Tablet,18-24,Male,600,9,4252.56
2024-01,United Kingdom,Tablet,18-24,Female,41,1,173.2
2024-01,United Kingdom,Tablet,18-24,Unknown,678,16,6418.66
2024-01,United Kingdom,Tablet,25-34,Male,596,19,8210.1
2024-01,United Kingdom,Tablet,25-34,Female,711,56,12640.2
2024-01,United Kingdom,Tablet,25-34,Unknown,166,6,3103.29
2024-01,United Kingdom,Tablet,35-44,Male,456,25,9784.95
2024-01,United Kingdom,Tablet,35-44,Female,751,38,8483.32
2024-01,United Kingdom,Tablet,35-44,Unknown,439,6,1766.13
2024-01,United Kingdom,Tablet,45-54,Male,389,27,17016.91
2024-01,United Kingdom,Tablet,45-54,Female,634,11,6887.57
2024-01,United Kingdom,Tablet,45-54,Unknown,628,10,5091.07
2024-01,United Kingdom,Tablet,55-64,Male,741,49,34192.95
2024-01,United Kingdom,Tablet,55-64,Female,249,10,6204.59
2024-01,United Kingdom,Tablet,55-64,Unknown,137,10,4333.87
2024-01,United Kingdom,Tablet,65+,Male,527,15,2573.08
2024-01,United Kingdom,Tablet,65+,Female,673,28,13417.62
2024-01,United Kingdom,Tablet,65+,Unknown,260,19,12546.31
2024-01,United States,Desktop,18-24,Male,69,5,1139.38
2024-01,United States,Desktop,18-24,Female,354,24,7706.43
2024-01,United States,Desktop,18-24,Unknown,310,21,4462.78
2024-01,United States,Desktop,25-34,Male,66,3,2035.17
2024-01,United States,Desktop,25-34,Female,39,2,562.0
2024-01,United States,Desktop,25-34,Unknown,776,43,14076.93
2024-01,United States,Desktop,35-44,Male,628,50,10079.58
