date,channel,sessions,users,new_users,pageviews,bounce_rate,avg_session_duration_sec,conversions,revenue_gbp
2024-01-01,Organic Search,1177,852,441,3102,0.6093,235.9,64,11741.78
2024-01-01,Paid Search,709,513,258,2348,0.3111,111.7,30,15534.22
2024-01-01,Social Media,517,420,273,1093,0.6384,241.5,13,3035.5
2024-01-01,Direct,550,425,201,1282,0.6559,217.0,27,17623.01
2024-01-01,Email,326,285,155,1116,0.6483,220.8,17,9204.94
2024-01-01,Referral,299,217,110,835,0.3335,120.5,4,1291.68
2024-01-01,Display,209,162,87,543,0.4121,303.5,8,4517.33
2024-01-02,Organic Search,1019,852,418,3067,0.7156,226.4,38,23551.2
2024-01-02,Paid Search,801,676,342,1743,0.4325,129.6,16,12933.19
2024-01-02,Social Media,629,484,297,1918,0.6841,179.3,14,4200.53
2024-01-02,Direct,493,375,223,2097,0.4677,117.0,29,14266.67
2024-01-02,Email,283,205,97,1020,0.6327,169.8,3,1195.75
2024-01-02,Referral,324,260,180,1349,0.3048,247.4,14,7167.84
2024-01-02,Display,187,153,73,587,0.4906,308.0,10,3122.74
2024-01-03,Organic Search,1134,848,575,4750,0.4253,226.1,45,10420.77
2024-01-03,Paid Search,786,633,408,2651,0.3002,144.3,8,6385.94
2024-01-03,Social Media,631,538,283,1412,0.6688,306.2,9,4272.96
2024-01-03,Direct,423,356,228,1018,0.4996,202.9,9,6811.89
2024-01-03,Email,316,238,139,1217,0.3845,141.0,18,10699.4
2024-01-03,Referral,278,223,107,733,0.442,213.0,5,1403.79
2024-01-03,Display,176,144,73,752,0.661,78.4,3,1825.06
2024-01-04,Organic Search,1038,769,525,3602,0.4985,264.0,52,13467.96
2024-01-04,Paid Search,641,505,280,2064,0.6062,235.1,37,7098.27
2024-01-04,Social Media,551,426,283,1485,0.3799,176.6,17,5496.75
2024-01-04,Direct,450,390,218,1875,0.5311,73.2,26,18987.8
2024-01-04,Email,370,321,212,924,0.504,115.6,11,1790.84
2024-01-04,Referral,273,239,123,1087,0.4911,170.0,15,12699.88
2024-01-04,Display,206,171,83,579,0.7069,210.6,7,4662.16
2024-01-05,Organic Search,986,802,461,4088,0.3661,309.8,13,3323.48
2024-01-05,Paid Search,752,622,316,1795,0.6739,124.0,29,16592.31
2024-01-05,Social Media,555,451,261,2410,0.3858,246.2,12,4907.08
2024-01-05,Direct,512,393,207,1999,0.3305,179.2,30,25414.51
2024-01-05,Email,283,213,109,1228,0.67,288.6,8,1881.24
2024-01-05,Referral,313,260,156,1398,0.5747,62.0,15,5078.2
2024-01-05,Display,213,185,89,506,0.345,203.8,5,2807.63
2024-01-06,Organic Search,790,594,361,2159,0.5052,295.4,41,7682.49
2024-01-06,Paid Search,466,356,160,1841,0.5676,128.1,21,10977.26
2024-01-06,Social Media,362,261,122,1527,0.6797,201.9,18,9814.18
2024-01-06,Direct,284,210,110,1209,0.6344,283.8,15,4100.34
2024-01-06,Email,196,144,92,827,0.4707,221.4,3,2396.44
2024-01-06,Referral,205,179,116,864,0.3104,251.5,5,3997.48
2024-01-06,Display,144,123,80,394,0.6307,88.1,7,5227.41
2024-01-07,Organic Search,681,579,327,1928,0.634,119.2,7,1826.89
2024-01-07,Paid Search,453,388,268,1254,0.5694,163.9,26,13297.37
2024-01-07,Social Media,420,310,214,1061,0.7043,129.0,6,2623.39
2024-01-07,Direct,340,261,157,1131,0.4618,209.9,7,4461.89
2024-01-07,Email,180,156,91,688,0.6116,234.4,5,855.4
2024-01-07,Referral,195,150,79,806,0.6023,138.1,4,1672.51
2024-01-07,Display,128,98,47,397,0.695,236.1,7,3985.28
2024-01-08,Organic Search,1078,870,391,3006,0.4806,210.8,46,21134.3
2024-01-08,Paid Search,724,546,310,3086,0.6343,104.1,10,4962.8
2024-01-08,Social Media,596,461,301,2326,0.5826,118.4,11,1516.14
2024-01-08,Direct,453,360,238,1030,0.4741,223.7,8,5026.71
2024-01-08,Email,327,248,152,691,0.6154,260.2,5,2151.78
2024-01-08,Referral,258,225,130,572,0.4047,280.6,8,5640.27
2024-01-08,Display,215,188,112,941,0.6744,219.3,9,4396.39
2024-01-09,Organic Search,1263,1020,687,4906,0.4994,127.4,28,16393.8
2024-01-09,Paid Search,797,640,388,2198,0.3325,134.3,18,6360.98
2024-01-09,Social Media,581,431,218,2187,0.5967,76.7,17,8773.8
2024-01-09,Direct,480,361,200,2050,0.5453,240.8,25,16972.1
2024-01-09,Email,316,227,122,1235,0.6584,307.9,9,5991.18
2024-01-09,Referral,291,237,119,764,0.4831,67.5,7,4310.42
2024-01-09,Display,199,148,83,478,0.5613,67.0,5,2660.03
2024-01-10,Organic Search,989,813,393,3172,0.3211,158.6,20,7171.95
2024-01-10,Paid Search,799,623,397,3273,0.406,81.3,8,4110.21
2024-01-10,Social Media,663,514,314,2635,0.5737,256.1,38,10090.27
2024-01-10,Direct,423,314,151,1567,0.5369,116.7,19,12916.88
2024-01-10,Email,296,241,153,702,0.6441,310.8,4,554.98
2024-01-10,Referral,272,225,155,830,0.6003,79.8,12,6934.64
2024-01-10,Display,181,152,100,640,0.3508,315.8,8,2987.67
2024-01-11,Organic Search,1131,881,507,3301,0.6568,273.8,17,13963.37
2024-01-11,Paid Search,773,659,413,2431,0.6082,311.0,18,12779.74
2024-01-11,Social Media,584,465,259,2251,0.4127,281.4,30,5497.92
2024-01-11,Direct,552,418,236,1967,0.4592,67.5,29,7329.55
2024-01-11,Email,301,255,136,1268,0.5945,131.8,3,2436.26
2024-01-11,Referral,253,211,120,991,0.5901,227.9,8,5590.73
2024-01-11,Display,181,136,84,513,0.5443,183.0,6,2583.71
2024-01-12,Organic Search,1244,961,601,3421,0.4056,91.4,24,4974.6
2024-01-12,Paid Search,753,633,314,1972,0.5034,248.4,44,22131.34
2024-01-12,Social Media,541,398,198,1431,0.3754,63.7,19,6084.7
2024-01-12,Direct,567,458,285,1362,0.6648,187.6,30,16172.01
2024-01-12,Email,328,259,128,729,0.6952,184.2,16,6600.26
2024-01-12,Referral,252,206,95,619,0.5364,139.0,15,3097.04
2024-01-12,Display,223,182,117,589,0.5195,177.1,7,5235.45
2024-01-13,Organic Search,867,666,403,3089,0.6108,306.4,17,4658.82
2024-01-13,Paid Search,509,379,187,1160,0.3011,177.1,20,6652.39
2024-01-13,Social Media,347,289,180,1106,0.5887,300.2,17,9796.97
2024-01-13,Direct,339,294,163,1154,0.572,296.2,17,2926.2
2024-01-13,Email,194,149,94,672,0.4212,92.3,8,5046.44
2024-01-13,Referral,214,171,98,490,0.3167,172.3,5,1513.84
2024-01-13,Display,118,103,67,410,0.6993,319.9,5,1583.72
2024-01-14,Organic Search,654,550,312,2396,0.6848,107.2,25,14584.82
2024-01-14,Paid Search,486,357,191,1409,0.5815,283.0,12,7516.58
2024-01-14,Social Media,355,309,201,1214,0.491,141.8,9,7454.11
2024-01-14,Direct,315,252,175,1158,0.5279,167.4,6,2304.59
2024-01-14,Email,233,191,122,603,0.5307,301.2,7,4408.06
2024-01-14,Referral,168,147,88,449,0.3665,203.2,6,1128.26
2024-01-14,Display,155,134,75,369,0.6495,189.6,7,3440.34
2024-01-15,Organic Search,1092,932,647,2931,0.5315,159.7,61,29951.97
2024-01-15,Paid Search,839,720,373,3352,0.4743,302.9,29,20851.03
2024-01-15,Social Media,547,419,250,2460,0.5056,98.6,20,7438.81
2024-01-15,Direct,510,411,231,1464,0.3792,241.3,19,5519.51
2024-01-15,Email,362,263,167,1372,0.6408,160.4,15,10787.19
2024-01-15,Referral,335,267,122,1107,0.5479,286.1,17,7504.2
2024-01-15,Display,210,166,104,647,0.575,100.1,7,5792.63
2024-01-16,Organic Search,1119,929,568,4637,0.658,283.4,32,11237.2
2024-01-16,Paid Search,805,677,452,1759,0.3287,224.1,45,38165.44
2024-01-16,Social Media,631,498,236,2284,0.6665,175.4,28,21825.99
2024-01-16,Direct,435,368,192,1304,0.3611,198.1,16,11176.63
